А	а 
подряд	п о д р я д 
поздно	п о з д н о 
полици	п о л и ц и 
портал	п о р т а л 
пособи	п о с о б и 
поэзия	п о э з и я 
правда	п р а в д а 
премие	п р е м и е 
прибор	п р и б о р 
прицел	п р и ц е л 
причал	п р и ч а л 
проект	п р о е к т 
прочее	п р о ч е е 
пукане	п у к а н е 
пукани	п у к а н и 
пуканӗ	п у к а н ӗ 
пулать	п у л а т ь 
пулман	п у л м а н 
пулмаҫ	п у л м а ҫ 
пулсан	п у л с а н 
пултӑр	п у л т ӑ р 
пулчӗҫ	п у л ч ӗ ҫ 
пулӑма	п у л ӑ м а 
пулӑмӗ	п у л ӑ м ӗ 
пулӑшу	п у л ӑ ш у 
пулӑшӗ	п у л ӑ ш ӗ 
пункта	п у н к т а 
пурлӑх	п у р л ӑ х 
пурнӑҫ	п у р н ӑ ҫ 
пуссан	п у с с а н 
пусӑмӗ	п у с ӑ м ӗ 
пухать	п у х а т ь 
пухура	п у х у р а 
пухӑвӗ	п у х ӑ в ӗ 
пушара	п у ш а р а 
пушмак	п у ш м а к 
пушшех	п у ш ш е х 
пуҫиле	п у ҫ и л е 
пуҫлӑх	п у ҫ л ӑ х 
пуҫлӗҫ	п у ҫ л ӗ ҫ 
пылчӑк	п ы л ч ӑ к 
пынине	п ы н и н е 
пынипе	п ы н и п е 
пырать	п ы р а т ь 
пырсан	п ы р с а н 
пысӑка	п ы с ӑ к а 
пӑлхар	п ӑ л х а р 
пӑрахӗ	п ӑ р а х ӗ 
пӑсать	п ӑ с а т ь 
пӑсман	п ӑ с м а н 
пӑссан	п ӑ с с а н 
пӑхман	п ӑ х м а н 
пӑхсан	п ӑ х с а н 
пӑчапа	п ӑ ч а п а 
пӑшалӗ	п ӑ ш а л ӗ 
пӗлмен	п ӗ л м е н 
пӗлсен	п ӗ л с е н 
пӗлсех	п ӗ л с е х 
пӗлтӗр	п ӗ л т ӗ р 
пӗлӗшӗ	п ӗ л ӗ ш ӗ 
пӗрлех	п ӗ р л е х 
пӗрлӗх	п ӗ р л ӗ х 
пӗрмай	п ӗ р м а й 
пӗртен	п ӗ р т е н 
пӗтмен	п ӗ т м е н 
пӗччен	п ӗ ч ч е н 
пӳлӗме	п ӳ л ӗ м е 
пӳртре	п ӳ р т р е 
разряд	р а з р я д 
районӗ	р а й о н ӗ 
ракета	р а к е т а 
ракурс	р а к у р с 
раштав	р а ш т а в 
ревизи	р е в и з и 
регион	р е г и о н 
режима	р е ж и м а 
ректор	р е к т о р 
рискер	р и с к е р 
родной	р о д н о й 
родном	р о д н о м 
рольте	р о л ь т е 
романӗ	р о м а н ӗ 
савучӗ	с а в у ч ӗ 
сайтне	с а й т н е 
сайтра	с а й т р а 
сайтӑн	с а й т ӑ н 
саккун	с а к к у н 
саксем	с а к с е м 
салтак	с а л т а к 
самана	с а м а н а 
самант	с а м а н т 
самаях	с а м а я х 
саммит	с а м м и т 
своего	с в о е г о 
сезона	с е з о н а 
сентре	с е н т р е 
сехете	с е х е т е 
сивӗтӗ	с и в ӗ т ӗ 
сигнал	с и г н а л 
сиенлӗ	с и е н л ӗ 
сиплев	с и п л е в 
служба	с л у ж б а 
служби	с л у ж б и 
сортлӑ	с о р т л ӑ 
соседа	с о с е д а 
спирчӗ	с п и р ч ӗ 
станок	с т а н о к 
станци	с т а н ц и 
статье	с т а т ь е 
статья	с т а т ь я 
суйлав	с у й л а в 
суйлас	с у й л а с 
сухине	с у х и н е 
съезда	с ъ е з д а 
съезчӗ	с ъ е з ч ӗ 
сывлӑх	с ы в л ӑ х 
сывлӑш	с ы в л ӑ ш 
сылтӑм	с ы л т ӑ м 
сюжечӗ	с ю ж е ч ӗ 
сӑвӑпа	с ӑ в ӑ п а 
сӑлтав	с ӑ л т а в 
сӑмаха	с ӑ м а х а 
сӑмахӗ	с ӑ м а х ӗ 
сӑнавӗ	с ӑ н а в ӗ 
сӑнанӑ	с ӑ н а н ӑ 
сӑнаса	с ӑ н а с а 
сӑнать	с ӑ н а т ь 
сӑрӑпа	с ӑ р ӑ п а 
сӗмсӗр	с ӗ м с ӗ р 
сӗнине	с ӗ н и н е 
сӗнмен	с ӗ н м е н 
сӗнчӗҫ	с ӗ н ч ӗ ҫ 
сӗнӗве	с ӗ н ӗ в е 
тавара	т а в а р а 
таварӗ	т а в а р ӗ 
тайрӗҫ	т а й р ӗ ҫ 
тарифӗ	т а р и ф ӗ 
таркӑн	т а р к ӑ н 
тартнӑ	т а р т н ӑ 
тарӑва	т а р ӑ в а 
ташӑпа	т а ш ӑ п а 
таякан	т а я к а н 
тваттӑ	т в а т т ӑ 
театрӗ	т е а т р ӗ 
темиҫе	т е м и ҫ е 
темшӗн	т е м ш ӗ н 
темӑна	т е м ӑ н а 
темӑпа	т е м ӑ п а 
тенине	т е н и н е 
тенипе	т е н и п е 
тетелӗ	т е т е л ӗ 
техник	т е х н и к 
тивӗҫӗ	т и в ӗ ҫ ӗ 
тимлӗх	т и м л ӗ х 
тиража	т и р а ж а 
тиражӗ	т и р а ж ӗ 
тирпей	т и р п е й 
тренер	т р е н е р 
труппи	т р у п п и 
туйран	т у й р а н 
туллин	т у л л и н 
тумсем	т у м с е м 
тунине	т у н и н е 
тунман	т у н м а н 
тупман	т у п м а н 
тупчӗр	т у п ч ӗ р 
тупӑша	т у п ӑ ш а 
тупӑшу	т у п ӑ ш у 
туризм	т у р и з м 
турист	т у р и с т 
турнир	т у р н и р 
туртма	т у р т м а 
туртса	т у р т с а 
туслӑх	т у с л ӑ х 
тухать	т у х а т ь 
тухман	т у х м а н 
тухрӗҫ	т у х р ӗ ҫ 
тухсан	т у х с а н 
тухтӑр	т у х т ӑ р 
тухӑҫӗ	т у х ӑ ҫ ӗ 
туянас	т у я н а с 
туянма	т у я н м а 
туяннӑ	т у я н н ӑ 
туянса	т у я н с а 
туяҫҫӗ	т у я ҫ ҫ ӗ 
тытӑнӗ	т ы т ӑ н ӗ 
тӑванӗ	т ӑ в а н ӗ 
тӑвать	т ӑ в а т ь 
тӑватӑ	т ӑ в а т ӑ 
тӑкака	т ӑ к а к а 
тӑлмач	т ӑ л м а ч 
тӑлӑха	т ӑ л ӑ х а 
тӑнине	т ӑ н и н е 
тӑнсӑр	т ӑ н с ӑ р 
тӑрать	т ӑ р а т ь 
тӑрсан	т ӑ р с а н 
тӑрсах	т ӑ р с а х 
тӑрура	т ӑ р у р а 
тӑрури	т ӑ р у р и 
тӑршшӗ	т ӑ р ш ш ӗ 
тӑрӑва	т ӑ р ӑ в а 
тӑрӑвӗ	т ӑ р ӑ в ӗ 
тӑрӑма	т ӑ р ӑ м а 
тӑрӑха	т ӑ р ӑ х а 
тӑсӑлӗ	т ӑ с ӑ л ӗ 
тӑшман	т ӑ ш м а н 
тӗвеке	т ӗ в е к е 
тӗксӗм	т ӗ к с ӗ м 
тӗллев	т ӗ л л е в 
тӗллӗн	т ӗ л л ӗ н 
тӗнчен	т ӗ н ч е н 
тӗпеле	т ӗ п е л е 
тӗплӗн	т ӗ п л ӗ н 
тӗпрен	т ӗ п р е н 
тӗпчев	т ӗ п ч е в 
тӗпчет	т ӗ п ч е т 
тӗреве	т ӗ р е в е 
тӗррин	т ӗ р р и н 
тӗртсе	т ӗ р т с е 
тӗслех	т ӗ с л е х 
тӗслӗх	т ӗ с л ӗ х 
тӗссӗр	т ӗ с с ӗ р 
тӗттӗм	т ӗ т т ӗ м 
тӳлеме	т ӳ л е м е 
тӳлени	т ӳ л е н и 
тӳленӗ	т ӳ л е н ӗ 
тӳлесе	т ӳ л е с е 
тӳпене	т ӳ п е н е 
удмурт	у д м у р т 
уйрӑма	у й р ӑ м а 
уйрӑмӗ	у й р ӑ м ӗ 
уйӑрма	у й ӑ р м а 
уйӑрнӑ	у й ӑ р н ӑ 
уйӑрса	у й ӑ р с а 
уйӑрӗҫ	у й ӑ р ӗ ҫ 
уйӑхра	у й ӑ х р а 
уйӑхӑн	у й ӑ х ӑ н 
уйӑхӗн	у й ӑ х ӗ н 
украин	у к р а и н 
укҫана	у к ҫ а н а 
укҫапа	у к ҫ а п а 
укҫине	у к ҫ и н е 
укҫипе	у к ҫ и п е 
улшӑну	у л ш ӑ н у 
улшӑнӗ	у л ш ӑ н ӗ 
умӗнхи	у м ӗ н х и 
умӗнче	у м ӗ н ч е 
умӗнчи	у м ӗ н ч и 
унччен	у н ч ч е н 
упраса	у п р а с а 
упӑшки	у п ӑ ш к и 
урайне	у р а й н е 
урамра	у р а м р а 
урапин	у р а п и н 
урокне	у р о к н е 
урокра	у р о к р а 
урӑхла	у р ӑ х л а 
услови	у с л о в и 
усрава	у с р а в а 
усрама	у с р а м а 
утравӗ	у т р а в ӗ 
ушкӑна	у ш к ӑ н а 
ушкӑнӗ	у ш к ӑ н ӗ 
уявӗпе	у я в ӗ п е 
уҫаҫҫӗ	у ҫ а ҫ ҫ ӗ 
уҫнине	у ҫ н и н е 
уҫҫине	у ҫ ҫ и н е 
уҫӑлма	у ҫ ӑ л м а 
уҫӑлни	у ҫ ӑ л н и 
уҫӑлнӑ	у ҫ ӑ л н ӑ 
уҫӑлса	у ҫ ӑ л с а 
уҫӑлчӗ	у ҫ ӑ л ч ӗ 
уҫӑмлӑ	у ҫ ӑ м л ӑ 
фактпа	ф а к т п а 
фасада	ф а с а д а 
фермер	ф е р м е р 
физика	ф и з и к а 
филиал	ф и л и а л 
фильма	ф и л ь м а 
фильмӗ	ф и л ь м ӗ 
финала	ф и н а л а 
финанс	ф и н а н с 
финиша	ф и н и ш а 
флагом	ф л а г о м 
флочӗн	ф л о ч ӗ н 
фондне	ф о н д н е 
фончӗн	ф о н ч ӗ н 
формат	ф о р м а т 
форумӗ	ф о р у м ӗ 
футбол	ф у т б о л 
хавшак	х а в ш а к 
хаклӗҫ	х а к л ӗ ҫ 
хакпах	х а к п а х 
хальхи	х а л ь х и 
халӑха	х а л ӑ х а 
халӑхс	х а л ӑ х с 
халӑхӗ	х а л ӑ х ӗ 
харпӑр	х а р п ӑ р 
харӑка	х а р ӑ к а 
хастар	х а с т а р 
хатӗрӗ	х а т ӗ р ӗ 
хаҫата	х а ҫ а т а 
хаҫачӗ	х а ҫ а ч ӗ 
хватит	х в а т и т 
химипе	х и м и п е 
хиртех	х и р т е х 
хирӗҫӳ	х и р ӗ ҫ ӳ 
хисепе	х и с е п е 
хоккей	х о к к е й 
холопы	х о л о п ы 
хоспис	х о с п и с 
храмӑн	х р а м ӑ н 
хулана	х у л а н а 
хулара	х у л а р а 
хулари	х у л а р и 
хулине	х у л и н е 
хуплас	х у п л а с 
хупман	х у п м а н 
хурать	х у р а т ь 
хутсем	х у т с е м 
хутчен	х у т ч е н 
хушсан	х у ш с а н 
хушупа	х у ш у п а 
хушӑва	х у ш ӑ в а 
хушӑра	х у ш ӑ р а 
хывнин	х ы в н и н 
хыпара	х ы п а р а 
хыпарӗ	х ы п а р ӗ 
хыпсан	х ы п с а н 
хырӑмӗ	х ы р ӑ м ӗ 
хысакӗ	х ы с а к ӗ 
хыттӑн	х ы т т ӑ н 
хыҫҫӑн	х ы ҫ ҫ ӑ н 
хӑйнӗн	х ӑ й н ӗ н 
хӑйсем	х ӑ й с е м 
хӑйсен	х ӑ й с е н 
хӑйӑва	х ӑ й ӑ в а 
хӑмине	х ӑ м и н е 
хӑнана	х ӑ н а н а 
хӑнӑху	х ӑ н ӑ х у 
хӑпарӗ	х ӑ п а р ӗ 
хӑраса	х ӑ р а с а 
хӑрать	х ӑ р а т ь 
хӑрушӑ	х ӑ р у ш ӑ 
хӑтлав	х ӑ т л а в 
хӑтлӑх	х ӑ т л ӑ х 
хӗвӗшӳ	х ӗ в ӗ ш ӳ 
хӗлӗпе	х ӗ л ӗ п е 
хӗрача	х ӗ р а ч а 
хӗрачи	х ӗ р а ч и 
хӗрсех	х ӗ р с е х 
хӗрӗпе	х ӗ р ӗ п е 
хӗтӗрӗ	х ӗ т ӗ р ӗ 
хӳтӗлӗ	х ӳ т ӗ л ӗ 
центра	ц е н т р а 
центрӗ	ц е н т р ӗ 
циклон	ц и к л о н 
цоколь	ц о к о л ь 
чакать	ч а к а т ь 
чарман	ч а р м а н 
чарӑва	ч а р ӑ в а 
чарӑну	ч а р ӑ н у 
чарӑнӗ	ч а р ӑ н ӗ 
часрах	ч а с р а х 
чикмен	ч и к м е н 
чирӗпе	ч и р ӗ п е 
читать	ч и т а т ь 
чунран	ч у н р а н 
чунтан	ч у н т а н 
чченхи	ч ч е н х и 
чӑрмав	ч ӑ р м а в 
чӗлхин	ч ӗ л х и н 
чӗнӳпе	ч ӗ н ӳ п е 
чӗрлӗх	ч ӗ р л ӗ х 
чӗртсе	ч ӗ р т с е 
чӗрчун	ч ӗ р ч у н 
чӗрӗпе	ч ӗ р ӗ п е 
чӳрече	ч ӳ р е ч е 
чӳречи	ч ӳ р е ч и 
чӳхеме	ч ӳ х е м е 
шалӑва	ш а л ӑ в а 
шалӑвӗ	ш а л ӑ в ӗ 
шапаша	ш а п а ш а 
шарама	ш а р а м а 
шарана	ш а р а н а 
шарапа	ш а р а п а 
шахмат	ш а х м а т 
шилӗкӗ	ш и л ӗ к ӗ 
широту	ш и р о т у 
шкулна	ш к у л н а 
шкулне	ш к у л н е 
шкулта	ш к у л т а 
шкулти	ш к у л т и 
шкулӗн	ш к у л ӗ н 
штабӗн	ш т а б ӗ н 
шултра	ш у л т р а 
шутлас	ш у т л а с 
шутлӗҫ	ш у т л ӗ ҫ 
шутран	ш у т р а н 
шухӑша	ш у х ӑ ш а 
шухӑшӗ	ш у х ӑ ш ӗ 
шучӗпе	ш у ч ӗ п е 
шывсӑр	ш ы в с ӑ р 
шывшӑн	ш ы в ш ӑ н 
шырама	ш ы р а м а 
шырани	ш ы р а н и 
шыранӑ	ш ы р а н ӑ 
шыраса	ш ы р а с а 
шырать	ш ы р а т ь 
шыҫӑпа	ш ы ҫ ӑ п а 
шӑнтнӑ	ш ӑ н т н ӑ 
шӑпине	ш ӑ п и н е 
шӗвеке	ш ӗ в е к е 
ывӑлне	ы в ӑ л н е 
ыйтать	ы й т а т ь 
ыйтман	ы й т м а н 
ыйтрӗҫ	ы й т р ӗ ҫ 
ыйтсан	ы й т с а н 
ыйттӑр	ы й т т ӑ р 
ыйтупа	ы й т у п а 
ыйтӑва	ы й т ӑ в а 
ыйтӑвӗ	ы й т ӑ в ӗ 
ыйтӑма	ы й т ӑ м а 
ыранхи	ы р а н х и 
ыратнӑ	ы р а т н ӑ 
ырланӑ	ы р л а н ӑ 
ырласа	ы р л а с а 
ытарли	ы т а р л и 
эрнере	э р н е р е 
этемӗн	э т е м ӗ н 
эфирта	э ф и р т а 
юбилей	ю б и л е й 
юбиляр	ю б и л я р 
ювелир	ю в е л и р 
юлашки	ю л а ш к и 
юлнине	ю л н и н е 
юмахне	ю м а х н е 
юнашар	ю н а ш а р 
юраман	ю р а м а н 
юратнӑ	ю р а т н ӑ 
юрлама	ю р л а м а 
юрланӑ	ю р л а н ӑ 
юрӑсем	ю р ӑ с е м 
юрӑсен	ю р ӑ с е н 
юсавлӑ	ю с а в л ӑ 
юсавра	ю с а в р а 
юсасси	ю с а с с и 
юстици	ю с т и ц и 
юхӑмӗн	ю х ӑ м ӗ н 
яваплӑ	я в а п л ӑ 
явнине	я в н и н е 
явӑнма	я в ӑ н м а 
языкам	я з ы к а м 
языков	я з ы к о в 
языком	я з ы к о м 
яланах	я л а н а х 
ялӗнче	я л ӗ н ч е 
ялӗнчи	я л ӗ н ч и 
ялӗсем	я л ӗ с е м 
ялӗсен	я л ӗ с е н 
ямалла	я м а л л а 
ямаҫҫӗ	я м а ҫ ҫ ӗ 
янӑшӑн	я н ӑ ш ӑ н 
япӑхнӑ	я п ӑ х н ӑ 
япӑххи	я п ӑ х х и 
ярасси	я р а с с и 
яраҫҫӗ	я р а ҫ ҫ ӗ 
ярӑннӑ	я р ӑ н н ӑ 
ярӑпӑр	я р ӑ п ӑ р 
ятарлӑ	я т а р л ӑ 
ятланӑ	я т л а н ӑ 
ятсене	я т с е н е 
ячӗллӗ	я ч ӗ л л ӗ 
ячӗсем	я ч ӗ с е м 
Ҫавсен	ҫ а в с е н 
Ҫамрӑк	ҫ а м р ӑ к 
Ҫармӑс	ҫ а р м ӑ с 
Ҫеҫмер	ҫ е ҫ м е р 
Ҫеҫпӗл	ҫ е ҫ п ӗ л 
Ҫинкӗл	ҫ и н к ӗ л 
Ҫултан	ҫ у л т а н 
Ҫуртра	ҫ у р т р а 
Ҫуртӑн	ҫ у р т ӑ н 
Ҫурҫӗр	ҫ у р ҫ ӗ р 
Ҫыннӑн	ҫ ы н н ӑ н 
Ҫынсем	ҫ ы н с е м 
Ҫынсен	ҫ ы н с е н 
Ҫырупа	ҫ ы р у п а 
Ҫырура	ҫ ы р у р а 
Ҫӑлкуҫ	ҫ ӑ л к у ҫ 
Ҫӗктер	ҫ ӗ к т е р 
Ҫӗмӗрт	ҫ ӗ м ӗ р т 
Ҫӗртме	ҫ ӗ р т м е 
Ҫӗршыв	ҫ ӗ р ш ы в 
ҫавсен	ҫ а в с е н 
ҫаксем	ҫ а к с е м 
ҫаксен	ҫ а к с е н 
ҫамрӑк	ҫ а м р ӑ к 
ҫемйин	ҫ е м й и н 
ҫемьен	ҫ е м ь е н 
ҫивӗчӗ	ҫ и в ӗ ч ӗ 
ҫиеҫҫӗ	ҫ и е ҫ ҫ ӗ 
ҫимӗҫе	ҫ и м ӗ ҫ е 
ҫинчен	ҫ и н ч е н 
ҫитиех	ҫ и т и е х 
ҫитмен	ҫ и т м е н 
ҫитрӗҫ	ҫ и т р ӗ ҫ 
ҫитсен	ҫ и т с е н 
ҫитӗнӳ	ҫ и т ӗ н ӳ 
ҫуллӗш	ҫ у л л ӗ ш 
ҫулран	ҫ у л р а н 
ҫулсем	ҫ у л с е м 
ҫулсен	ҫ у л с е н 
ҫултан	ҫ у л т а н 
ҫултах	ҫ у л т а х 
ҫулӑма	ҫ у л ӑ м а 
ҫумран	ҫ у м р а н 
ҫумӗпе	ҫ у м ӗ п е 
ҫуртне	ҫ у р т н е 
ҫуртпа	ҫ у р т п а 
ҫуртра	ҫ у р т р а 
ҫуртӑн	ҫ у р т ӑ н 
ҫурчӗн	ҫ у р ч ӗ н 
ҫурҫӗр	ҫ у р ҫ ӗ р 
ҫурӑра	ҫ у р ӑ р а 
ҫутине	ҫ у т и н е 
ҫухату	ҫ у х а т у 
ҫухрӑм	ҫ у х р ӑ м 
ҫыннӑн	ҫ ы н н ӑ н 
ҫынсем	ҫ ы н с е м 
ҫынсен	ҫ ы н с е н 
ҫыншӑн	ҫ ы н ш ӑ н 
ҫырава	ҫ ы р а в а 
ҫыравӗ	ҫ ы р а в ӗ 
ҫырать	ҫ ы р а т ь 
ҫырман	ҫ ы р м а н 
ҫырупа	ҫ ы р у п а 
ҫырура	ҫ ы р у р а 
ҫырӑва	ҫ ы р ӑ в а 
ҫырӑнӗ	ҫ ы р ӑ н ӗ 
ҫыхӑну	ҫ ы х ӑ н у 
ҫӑвана	ҫ ӑ в а н а 
ҫӑвара	ҫ ӑ в а р а 
ҫӑлкуҫ	ҫ ӑ л к у ҫ 
ҫӑматӑ	ҫ ӑ м а т ӑ 
ҫӑмран	ҫ ӑ м р а н 
ҫӑткӑн	ҫ ӑ т к ӑ н 
ҫӗртме	ҫ ӗ р т м е 
ҫӗршер	ҫ ӗ р ш е р 
ҫӗршыв	ҫ ӗ р ш ы в 
ҫӳллӗш	ҫ ӳ л л ӗ ш 
ҫӳлтен	ҫ ӳ л т е н 
ҫӳреме	ҫ ӳ р е м е 
ҫӳренӗ	ҫ ӳ р е н ӗ 
ҫӳресе	ҫ ӳ р е с е 
Ӑмӑрту	ӑ м ӑ р т у 
ӑмӑрту	ӑ м ӑ р т у 
ӑнлава	ӑ н л а в а 
ӑратлӑ	ӑ р а т л ӑ 
ӑрушӑн	ӑ р у ш ӑ н 
ӑрӑвне	ӑ р ӑ в н е 
ӑсатма	ӑ с а т м а 
ӑсатнӑ	ӑ с а т н ӑ 
ӑсатса	ӑ с а т с а 
ӑшӑрах	ӑ ш ӑ р а х 
ӑшӑтнӑ	ӑ ш ӑ т н ӑ 
ӑшӑтса	ӑ ш ӑ т с а 
ӑҫтине	ӑ ҫ т и н е 
Ӗнерхи	ӗ н е р х и 
Ӗпхӳре	ӗ п х ӳ р е 
Ӗҫсене	ӗ ҫ с е н е 
ӗлӗкхи	ӗ л ӗ к х и 
ӗмӗрти	ӗ м ӗ р т и 
ӗмӗрӗн	ӗ м ӗ р ӗ н 
ӗненме	ӗ н е н м е 
ӗненсе	ӗ н е н с е 
ӗнерхи	ӗ н е р х и 
ӗҫкине	ӗ ҫ к и н е 
ӗҫлевӗ	ӗ ҫ л е в ӗ 
ӗҫлеме	ӗ ҫ л е м е 
ӗҫлени	ӗ ҫ л е н и 
ӗҫленӗ	ӗ ҫ л е н ӗ 
ӗҫлерӗ	ӗ ҫ л е р ӗ 
ӗҫлесе	ӗ ҫ л е с е 
ӗҫсене	ӗ ҫ с е н е 
ӗҫтешӗ	ӗ ҫ т е ш ӗ 
ӗҫченӗ	ӗ ҫ ч е н ӗ 
ӗҫӗнче	ӗ ҫ ӗ н ч е 
ӗҫӗсем	ӗ ҫ ӗ с е м 
ӗҫӗсен	ӗ ҫ ӗ с е н 
ӗҫӗшӗн	ӗ ҫ ӗ ш ӗ н 
ӳкернӗ	ӳ к е р н ӗ 
ӳкерсе	ӳ к е р с е 
